pdb,format,antigen,kd_nM,dG_exp_kcal_mol,dG_pred_kcal_mol,delta_kcal_mol,method,source,resolution
10bt,Fab,X-ray Crystal Structure of A High-Affinity Monoclonal Antibody Sequesters Xylazine,,,,,X-RAY DIFFRACTION,SAbDab,
10ev,Fab,"OX1-Matured in complex with GluN1-GluN2B, full refinement",,,,,X-RAY DIFFRACTION,SAbDab,
10fe,Fab,"OX1-Germline in complex with GluN1-GluN2B, full refinement",,,,,X-RAY DIFFRACTION,SAbDab,
10gh,Fab,Cryo-EM structure of Receptor Tyrosine Kinase ROS1 in complex with Fab-RX5,,,,,X-RAY DIFFRACTION,SAbDab,
10op,Fab,"Cryo-EM structure of Sudan Ebolavirus GP bound by three neutralizing antibodies 545S, 523S and 294S",,,,,X-RAY DIFFRACTION,SAbDab,
10or,Fab,"Cryo-EM structure of Sudan Ebolavirus GP bound by three neutralizing antibodies 316L, 523S and 294S",,,,,X-RAY DIFFRACTION,SAbDab,
11hk,Fab,Protein,,,,,X-RAY DIFFRACTION,SAbDab,
11hw,Fab,Protein,,,,,X-RAY DIFFRACTION,SAbDab,
11ol,Fab,SARS-CoV-2 Omicron BA.4 RBD in complex with Omi32 Fab and LC-Kappa VHH,,,,,X-RAY DIFFRACTION,SAbDab,
11oo,Fab,SARS-CoV-2 Omicron BA.4 RBD in complex with Omi32 germline Fab and LC-Kappa VHH,,,,,X-RAY DIFFRACTION,SAbDab,
11oq,Fab,SARS-CoV-2 Omicron BA.1 RBD in complex with Omi32 germline Fab and LC-Kappa VHH,,,,,X-RAY DIFFRACTION,SAbDab,
11or,Fab,Omi32 Fab in complex with LC-Kappa VHH,,,,,X-RAY DIFFRACTION,SAbDab,
11ou,Fab,Omi32 germline Fab in complex with LC-Kappa VHH,,,,,X-RAY DIFFRACTION,SAbDab,
11sz,Fab,Antibody (1B2) Bound Rifamycin Synthetase Module 2,,,,,X-RAY DIFFRACTION,SAbDab,
11td,Fab,Structure of human CCR4 in apo state,,,,,X-RAY DIFFRACTION,SAbDab,
11tf,Fab,Structure of human CCR4 in complex with PRT193,,,,,X-RAY DIFFRACTION,SAbDab,
11th,Fab,Structure of human CCR4 in complex with FLX475,,,,,X-RAY DIFFRACTION,SAbDab,
11tk,Fab,Structure of human CCR4 in complex with AZD2098,,,,,X-RAY DIFFRACTION,SAbDab,
11tl,Fab,Structure of human CCR4 in complex with GSK2239633A,,,,,X-RAY DIFFRACTION,SAbDab,
12fc,Fab,Crystal structure of unliganded Fab 7118,,,,,X-RAY DIFFRACTION,SAbDab,
12fd,Fab,Crystal structure of unliganded Fab 7160,,,,,X-RAY DIFFRACTION,SAbDab,
12fe,Fab,Crystal structure of unliganded Fab 399,,,,,X-RAY DIFFRACTION,SAbDab,
12qj,Fab,Pneumococcal choline binding CbpE surface protein bounds to 5992-2 Fab,,,,,X-RAY DIFFRACTION,SAbDab,
13fj,Fab,TGFB1 IN COMPLEX WITH NIS793 FAB,,,,,X-RAY DIFFRACTION,SAbDab,
